place_id,place_name,place_kind,district,wellness_type,address,image_url,latitude,longitude,description,experience_tip,mood_tags,source_status
"pt_gwanak_002","파머스포케 서울대점","POINT","관악","건강 간편식","서울특별시 관악구 대학길 47","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4686198","126.9378193","포케·샐러드. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#건강간편식 #건강식 #혼밥 #짧은체류","CANDIDATE"
"pt_gwanak_004","비건마마","POINT","관악","건강 간편식","서울특별시 관악구 봉천로 457-1","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4825880","126.9509765","식물성 샌드위치·포케. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#건강간편식 #건강식 #혼밥 #짧은체류","CANDIDATE"
"pt_gwanak_005","그린테라스앤샐러드박스","POINT","관악","건강 간편식","서울특별시 관악구 관악로28길 13","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4853173","126.9569953","샐러드. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#건강간편식 #건강식 #혼밥 #짧은체류","CANDIDATE"
"pt_gwanak_008","포케박스 봉천점","POINT","관악","건강 간편식","서울특별시 관악구 쑥고개로 59","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4797462","126.9430887","포케. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#건강간편식 #건강식 #혼밥 #짧은체류","CANDIDATE"
"pt_gwanak_009","풀잎샌드위치","POINT","관악","건강 간편식","서울특별시 관악구 남부순환로 1844 한일빌딩","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4802466","126.9546973","신선 샌드위치. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#건강간편식 #건강식 #혼밥 #짧은체류","CANDIDATE"
"pt_gwanak_021","지오 북카페","POINT","관악","힐링 공간","서울특별시 관악구 관악로12길 3-6","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4784105","126.9528147","책과 음료. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#힐링공간 #조용한 #혼자좋은 #휴식","CANDIDATE"
"pt_gwanak_023","관악중앙도서관","POINT","관악","힐링 공간","서울특별시 관악구 신림로3길 35 관악문화재단","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4675977","126.9448709","독서·열람. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#힐링공간 #조용한 #혼자좋은 #휴식","CANDIDATE"
"pt_gwanak_024","관악문화관·도서관","POINT","관악","힐링 공간","서울특별시 관악구 신림로3길 35 관악문화재단","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4675977","126.9448709","독서·문화. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#힐링공간 #조용한 #혼자좋은 #휴식","CANDIDATE"
"pt_gwanak_025","글빛정보도서관","POINT","관악","힐링 공간","서울특별시 관악구 관악로30길 23 글빛정보도서관","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4862432","126.9596702","독서·열람. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#힐링공간 #조용한 #혼자좋은 #휴식","CANDIDATE"
"pt_gwanak_026","조원도서관","POINT","관악","힐링 공간","서울특별시 관악구 조원로12길 25 조원동주민센터","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4825435","126.9078017","독서·열람. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#힐링공간 #조용한 #혼자좋은 #휴식","CANDIDATE"
"pt_gwanak_027","은천동작은도서관","POINT","관악","힐링 공간","서울특별시 관악구 봉천로33나길 30 은천동 주민센터","""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","37.4853329","126.9424557","독서. 지도 검색 후보(2026-08-20); 운영·상세주소·독립 운영 여부를 최종 확인해야 합니다. NAVER API HUB 지역 검색·Maps Geocoding으로 도로명 주소·좌표를 재확인했습니다(2026-08-21).","방문 전 당일 영업·좌석·혼잡도와 정확한 위치를 확인하세요.","#힐링공간 #조용한 #혼자좋은 #휴식","CANDIDATE"
