experience_id,experience_name,district,place_id,segment_id,scenario,time_of_day,weather,available_minutes,activity_intensity,description,experience_tip,mood_tags,review_status
"exp_gwanak_002","파머스포케 서울대점에서 가벼운 한 끼","관악","pt_gwanak_002","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","파머스포케 서울대점에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_004","비건마마에서 가벼운 한 끼","관악","pt_gwanak_004","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","비건마마에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_005","그린테라스앤샐러드박스에서 가벼운 한 끼","관악","pt_gwanak_005","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","그린테라스앤샐러드박스에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_008","포케박스 봉천점에서 가벼운 한 끼","관악","pt_gwanak_008","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","포케박스 봉천점에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_009","풀잎샌드위치에서 가벼운 한 끼","관악","pt_gwanak_009","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","풀잎샌드위치에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_021","지오 북카페에서 조용한 집중","관악","pt_gwanak_021","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","지오 북카페에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_023","관악중앙도서관에서 조용한 집중","관악","pt_gwanak_023","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","관악중앙도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_024","관악문화관·도서관에서 조용한 집중","관악","pt_gwanak_024","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","관악문화관·도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_025","글빛정보도서관에서 조용한 집중","관악","pt_gwanak_025","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","글빛정보도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_026","조원도서관에서 조용한 집중","관악","pt_gwanak_026","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","조원도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_027","은천동작은도서관에서 조용한 집중","관악","pt_gwanak_027","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","은천동작은도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_028","성현동작은도서관에서 조용한 집중","관악","pt_gwanak_028","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","성현동작은도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_032","서울대학교 미술관에서 문화 휴식","관악","pt_gwanak_032","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","서울대학교 미술관에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_gwanak_033","관악아트홀에서 문화 휴식","관악","pt_gwanak_033","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","관악아트홀에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_gwanak_034","관천로 문화플랫폼 S1472에서 문화 휴식","관악","pt_gwanak_034","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","관천로 문화플랫폼 S1472에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_gwanak_041","낙성대공원에서 짧은 산책","관악","pt_gwanak_041","","가까운 곳에서 잠깐 바람을 쐬고 싶을 때","EVENING","CLEAR","25","LOW","낙성대공원에서 짧게 걷고 앉아 숨을 고르는 경험","조명과 휴식 공간이 있는 짧은 동선을 먼저 확인하세요.","#자연선호 #짧은휴식 #걷기 #기분전환 #퇴근후","DRAFT"
"exp_gwanak_081","관악구민종합체육센터에서 가벼운 운동","관악","pt_gwanak_081","","퇴근 후 가볍게 몸을 움직이고 싶을 때","EVENING","ANY","50","MEDIUM","관악구민종합체육센터에서 내 컨디션에 맞춰 가볍게 운동을 시작하는 경험","첫 방문 전 수업·시설 이용 방식과 예약 필요 여부를 확인하세요.","#초보운동 #가벼운운동 #스트레스완화 #퇴근후 #자기관리시작","DRAFT"
"exp_gwanak_082","관악구민운동장에서 가벼운 운동","관악","pt_gwanak_082","","퇴근 후 가볍게 몸을 움직이고 싶을 때","EVENING","ANY","50","MEDIUM","관악구민운동장에서 내 컨디션에 맞춰 가볍게 운동을 시작하는 경험","첫 방문 전 수업·시설 이용 방식과 예약 필요 여부를 확인하세요.","#초보운동 #가벼운운동 #스트레스완화 #퇴근후 #자기관리시작","DRAFT"
"exp_gwanak_083","신림체육센터에서 가벼운 운동","관악","pt_gwanak_083","","퇴근 후 가볍게 몸을 움직이고 싶을 때","EVENING","ANY","50","MEDIUM","신림체육센터에서 내 컨디션에 맞춰 가볍게 운동을 시작하는 경험","첫 방문 전 수업·시설 이용 방식과 예약 필요 여부를 확인하세요.","#초보운동 #가벼운운동 #스트레스완화 #퇴근후 #자기관리시작","DRAFT"
"exp_jongno_022","청운문학도서관에서 조용한 집중","종로","pt_jongno_022","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","청운문학도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_jongno_023","윤동주문학관에서 조용한 집중","종로","pt_jongno_023","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","윤동주문학관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_jongno_027","북촌문화센터에서 문화 휴식","종로","pt_jongno_027","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","북촌문화센터에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_jongno_028","서울공예박물관에서 문화 휴식","종로","pt_jongno_028","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","서울공예박물관에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_jongno_029","국립현대미술관 서울에서 문화 휴식","종로","pt_jongno_029","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","국립현대미술관 서울에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_jongno_032","삼청공원 숲속도서관에서 조용한 집중","종로","pt_jongno_032","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","삼청공원 숲속도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_jongno_035","보안책방에서 조용한 집중","종로","pt_jongno_035","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","보안책방에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_jongno_041","낙산공원에서 자연 걷기","종로","pt_jongno_041","","생각을 비우며 천천히 걷고 싶을 때","MORNING","CLEAR","50","LOW","낙산공원에서 자연을 따라 천천히 걸으며 머리를 식히는 경험","해 지기 전 동선을 정하고, 기상·통제 구간을 확인하세요.","#자연선호 #기분전환 #걷기 #주말오전 #스트레스완화","DRAFT"
"exp_jongno_042","마로니에공원에서 짧은 산책","종로","pt_jongno_042","","가까운 곳에서 잠깐 바람을 쐬고 싶을 때","EVENING","CLEAR","25","LOW","마로니에공원에서 짧게 걷고 앉아 숨을 고르는 경험","조명과 휴식 공간이 있는 짧은 동선을 먼저 확인하세요.","#자연선호 #짧은휴식 #걷기 #기분전환 #퇴근후","DRAFT"
"exp_jongno_043","탑골공원에서 짧은 산책","종로","pt_jongno_043","","가까운 곳에서 잠깐 바람을 쐬고 싶을 때","EVENING","CLEAR","25","LOW","탑골공원에서 짧게 걷고 앉아 숨을 고르는 경험","조명과 휴식 공간이 있는 짧은 동선을 먼저 확인하세요.","#자연선호 #짧은휴식 #걷기 #기분전환 #퇴근후","DRAFT"
"exp_jongno_045","삼청공원에서 짧은 산책","종로","pt_jongno_045","","가까운 곳에서 잠깐 바람을 쐬고 싶을 때","EVENING","CLEAR","25","LOW","삼청공원에서 짧게 걷고 앉아 숨을 고르는 경험","조명과 휴식 공간이 있는 짧은 동선을 먼저 확인하세요.","#자연선호 #짧은휴식 #걷기 #기분전환 #퇴근후","DRAFT"
"exp_jongno_048","경희궁공원에서 짧은 산책","종로","pt_jongno_048","","가까운 곳에서 잠깐 바람을 쐬고 싶을 때","EVENING","CLEAR","25","LOW","경희궁공원에서 짧게 걷고 앉아 숨을 고르는 경험","조명과 휴식 공간이 있는 짧은 동선을 먼저 확인하세요.","#자연선호 #짧은휴식 #걷기 #기분전환 #퇴근후","DRAFT"
"exp_jongno_049","와룡공원에서 짧은 산책","종로","pt_jongno_049","","가까운 곳에서 잠깐 바람을 쐬고 싶을 때","EVENING","CLEAR","25","LOW","와룡공원에서 짧게 걷고 앉아 숨을 고르는 경험","조명과 휴식 공간이 있는 짧은 동선을 먼저 확인하세요.","#자연선호 #짧은휴식 #걷기 #기분전환 #퇴근후","DRAFT"
"exp_jongno_050","북악산공원에서 자연 걷기","종로","pt_jongno_050","","생각을 비우며 천천히 걷고 싶을 때","MORNING","CLEAR","50","LOW","북악산공원에서 자연을 따라 천천히 걸으며 머리를 식히는 경험","해 지기 전 동선을 정하고, 기상·통제 구간을 확인하세요.","#자연선호 #기분전환 #걷기 #주말오전 #스트레스완화","DRAFT"
"exp_jongno_066","삼청동길에서 혼자 걷기","종로","pt_jongno_066","","혼자 걸으며 하루를 전환하고 싶을 때","EVENING","CLEAR","35","LOW","삼청동길을 따라 무리 없이 걸으며 생각을 정리하는 경험","왕복 시간과 야간 보행 환경을 확인하세요.","#자연선호 #걷기 #혼자좋은 #기분전환 #퇴근후","DRAFT"
"exp_jongno_067","인사동길에서 혼자 걷기","종로","pt_jongno_067","","혼자 걸으며 하루를 전환하고 싶을 때","EVENING","CLEAR","35","LOW","인사동길을 따라 무리 없이 걸으며 생각을 정리하는 경험","왕복 시간과 야간 보행 환경을 확인하세요.","#자연선호 #걷기 #혼자좋은 #기분전환 #퇴근후","DRAFT"
"exp_jongno_082","종로문화체육센터에서 가벼운 운동","종로","pt_jongno_082","","퇴근 후 가볍게 몸을 움직이고 싶을 때","EVENING","ANY","50","MEDIUM","종로문화체육센터에서 내 컨디션에 맞춰 가볍게 운동을 시작하는 경험","첫 방문 전 수업·시설 이용 방식과 예약 필요 여부를 확인하세요.","#초보운동 #가벼운운동 #스트레스완화 #퇴근후 #자기관리시작","DRAFT"
"exp_gwanak_102","밀밀밀 포케&amp;샐러드 서울대입구점에서 가벼운 한 끼","관악","pt_gwanak_102","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","밀밀밀 포케&amp;샐러드 서울대입구점에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_110","볼앤베리에서 가벼운 한 끼","관악","pt_gwanak_110","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","볼앤베리에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_121","카우보이 다이어트 푸드 서울대입구점에서 가벼운 한 끼","관악","pt_gwanak_121","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","카우보이 다이어트 푸드 서울대입구점에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_139","마이요거트립 신림점에서 가벼운 한 끼","관악","pt_gwanak_139","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","마이요거트립 신림점에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_147","10인치샌드위치&amp;커피에서 가벼운 한 끼","관악","pt_gwanak_147","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","10인치샌드위치&amp;커피에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_173","샐러드데이에서 가벼운 한 끼","관악","pt_gwanak_173","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","샐러드데이에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_176","요거트월드 샤로수길점에서 가벼운 한 끼","관악","pt_gwanak_176","","점심에 가볍게 식단을 챙기고 싶을 때","AFTERNOON","ANY","30","LOW","요거트월드 샤로수길점에서 부담 없는 한 끼로 식사 리듬을 정돈하는 경험","알레르기와 재료 선택, 당일 영업 여부를 주문 전에 확인하세요.","#식단관리 #혼밥선호 #짧은시간 #가벼운식사 #점심","DRAFT"
"exp_gwanak_188","카페 팃빗에서 잠깐 쉬기","관악","pt_gwanak_188","","혼자 잠깐 쉬며 기분을 전환하고 싶을 때","AFTERNOON","RAIN","45","LOW","카페 팃빗에서 잠시 머물며 일상의 속도를 낮추는 경험","혼잡 시간과 혼자 머무르기 좋은 좌석을 확인하세요.","#내향형 #혼자좋은 #기분전환 #비오는날 #짧은휴식","DRAFT"
"exp_gwanak_189","씨크스페셜티커피에서 잠깐 쉬기","관악","pt_gwanak_189","","혼자 잠깐 쉬며 기분을 전환하고 싶을 때","AFTERNOON","RAIN","45","LOW","씨크스페셜티커피에서 잠시 머물며 일상의 속도를 낮추는 경험","혼잡 시간과 혼자 머무르기 좋은 좌석을 확인하세요.","#내향형 #혼자좋은 #기분전환 #비오는날 #짧은휴식","DRAFT"
"exp_gwanak_191","카페 사유에서 잠깐 쉬기","관악","pt_gwanak_191","","혼자 잠깐 쉬며 기분을 전환하고 싶을 때","AFTERNOON","RAIN","45","LOW","카페 사유에서 잠시 머물며 일상의 속도를 낮추는 경험","혼잡 시간과 혼자 머무르기 좋은 좌석을 확인하세요.","#내향형 #혼자좋은 #기분전환 #비오는날 #짧은휴식","DRAFT"
"exp_gwanak_196","밝은책방에서 조용한 집중","관악","pt_gwanak_196","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","밝은책방에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_197","플레로마 가족책방에서 조용한 집중","관악","pt_gwanak_197","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","플레로마 가족책방에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_198","용꿈꾸는작은도서관에서 조용한 집중","관악","pt_gwanak_198","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","용꿈꾸는작은도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_199","그림숲그림책작은도서관에서 조용한 집중","관악","pt_gwanak_199","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","그림숲그림책작은도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_200","낙성대공원도서관에서 조용한 집중","관악","pt_gwanak_200","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","낙성대공원도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
"exp_gwanak_201","현상 커피로스터스에서 잠깐 쉬기","관악","pt_gwanak_201","","혼자 잠깐 쉬며 기분을 전환하고 싶을 때","AFTERNOON","RAIN","45","LOW","현상 커피로스터스에서 잠시 머물며 일상의 속도를 낮추는 경험","혼잡 시간과 혼자 머무르기 좋은 좌석을 확인하세요.","#내향형 #혼자좋은 #기분전환 #비오는날 #짧은휴식","DRAFT"
"exp_gwanak_202","리틀 갤러리에서 문화 휴식","관악","pt_gwanak_202","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","리틀 갤러리에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_gwanak_203","카페더갤러리에서 문화 휴식","관악","pt_gwanak_203","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","카페더갤러리에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_gwanak_205","EAC갤러리에서 문화 휴식","관악","pt_gwanak_205","","혼자 문화 자극으로 기분을 전환하고 싶을 때","AFTERNOON","ANY","60","LOW","EAC갤러리에서 전시나 공간을 천천히 둘러보며 쉬는 경험","당일 전시·프로그램과 입장 가능 시간을 확인하세요.","#문화취향 #기분전환 #혼자좋은 #주말 #저자극","DRAFT"
"exp_gwanak_212","콜링아트센터에서 잠깐 쉬기","관악","pt_gwanak_212","","혼자 잠깐 쉬며 기분을 전환하고 싶을 때","AFTERNOON","RAIN","45","LOW","콜링아트센터에서 잠시 머물며 일상의 속도를 낮추는 경험","혼잡 시간과 혼자 머무르기 좋은 좌석을 확인하세요.","#내향형 #혼자좋은 #기분전환 #비오는날 #짧은휴식","DRAFT"
"exp_gwanak_215","푸른나무작은도서관에서 조용한 집중","관악","pt_gwanak_215","","조용히 생각을 정리하고 싶을 때","AFTERNOON","RAIN","60","LOW","푸른나무작은도서관에서 읽고 머무르며 생각을 정리하는 경험","운영 시간과 열람·좌석 이용 가능 여부를 확인하세요.","#내향형 #저자극 #집중회복 #혼자좋은 #비오는날","DRAFT"
